,city,euclid,network,cognitive,f_segment,f_landmarks,f_isections,f_turns,f_config,f_locations
3329,New York City - Soho,761.7620934102531,942.323,2634.7275058999994,155.02289999999982,246.90282750000006,0.0,537.6994909999999,752.7792873999997,0.0
3330,New York City - Soho,1804.2847769437385,1898.1919999999998,6268.155465201431,487.0149000000008,1013.7129325000005,102.64737894149994,2451.097048009051,1011.9529241065939,-696.4617183557148
3331,New York City - Soho,1358.0330617205768,1633.6960000000001,4959.5325558075,220.0056999999997,324.3977975,0.0,1742.479598,1038.9534603075003,0.0
3332,New York City - Soho,645.6462591377887,850.4599999999999,1671.0945351975001,3.6110000000001037,42.703550000000064,8.967745499999978,452.87114775,312.4810919475001,0.0
3333,New York City - Soho,1213.8695543803917,1304.016,2660.5710697495024,128.89009999999985,71.64530500000001,75.82939081200016,474.11423874360025,606.076035193902,0.0
3334,New York City - Soho,1343.5191024984529,1448.528,4534.953637091311,118.86130000000026,39.18473249999988,48.51853578150008,1655.0925682815002,1224.7685005283106,0.0
3335,New York City - Soho,693.786956251768,804.8950000000001,1231.2675809280004,19.69699999999989,82.45920000000012,9.070512000000008,183.22434240000007,131.9215265280002,0.0
3336,New York City - Soho,1776.7586716580158,1905.2160000000001,6399.338112252994,291.7337,1428.0173049999999,109.47400355100035,2240.6646051306,1135.2700665995035,-711.0375680281104
3337,New York City - Soho,1604.4997104977442,1964.1870000000001,7596.963208909153,607.885,835.9234000000001,171.76296816000013,2863.806694528,1997.5051694332806,-844.1070232121283
3338,New York City - Soho,1435.5299725869727,1549.9670000000003,5390.3680118561515,453.76639999999975,551.0266849999998,155.32941316799997,1897.0626487176,783.2158649705516,0.0
3339,New York City - Soho,908.6353787713618,1202.388,2377.8632398950003,17.151000000000295,152.44237500000008,13.719813749999958,415.71035662500003,576.45169452,0.0
3340,New York City - Soho,1316.1530944507808,1620.5840000000005,5301.918577439534,216.26629999999977,367.37005999999997,111.5335502160001,2084.1785191944005,901.9861480291329,0.0
3341,New York City - Soho,380.02053905387777,379.495,417.44450000000006,0.0,0.0,0.0,0.0,0.0,37.94950000000006
3342,New York City - Soho,1321.2801045470057,1796.0339999999997,3758.0849561775526,71.08090000000016,186.71149000000037,103.51285005599993,647.2017720168001,953.5439441047524,0.0
3343,New York City - Soho,1506.2577443847756,1980.251,9526.487842407003,868.0908000000002,996.9196300000003,312.23522811600014,3741.7469923044,2685.7428411429364,-1058.498649156334
3344,New York City - Soho,1518.094652104,1994.1479999999995,6527.67085293584,814.9945000000005,772.5141874999999,181.23182838749972,1881.4442579437496,1608.6348405419067,-725.2967614373156
3345,New York City - Soho,1560.4964022386791,1984.9829999999997,6073.958710008003,151.09860000000117,106.80408000000034,44.8577135999999,2287.743393600001,2173.356223920002,-674.8843011120007
3346,New York City - Soho,925.4531963651032,940.2729999999997,2327.836037451599,346.8119999999999,96.5313749999998,84.12387560000002,440.32207517999996,419.7737116715998,0.0
3347,New York City - Soho,1285.0392569691614,1309.057,3452.916032739264,335.22029999999995,82.21386500000017,87.0151547160001,725.4025278864001,914.0071851368639,0.0
3348,New York City - Soho,1430.5436777873388,1812.8310000000004,6020.028094684033,280.64279999999985,732.7158300000001,171.83232950399997,1798.8131757024007,1223.192959477632,0.0
3349,New York City - Soho,764.2178576578734,906.8019999999998,1487.5779659999998,105.15580000000011,227.69050500000003,0.0,0.0,247.9296609999999,0.0
3350,New York City - Soho,1351.5134983375299,1551.713,6147.034616244912,316.4123000000002,373.62505999999985,112.98421814400035,3061.1549515872,731.1450865137122,0.0
3351,New York City - Soho,1397.0302066411496,1541.5510000000002,5518.293031707121,462.9883,451.0213425000004,99.20464995700013,2043.8122339656006,919.7155052845201,0.0
3352,New York City - Soho,1244.6402631715155,1569.607,3436.1793959472016,41.02760000000035,80.53173000000015,33.82332659999997,1034.9937939600006,676.1959453872005,0.0
3353,New York City - Soho,1172.3965776071934,1478.5259999999998,5433.879720815001,282.54729999999995,308.18782750000014,104.29076082600022,2173.551888326,1086.7759441630005,0.0
3354,New York City - Soho,161.75579107427353,183.00900000000001,341.5892051000001,0.7399000000000058,0.0,7.34995600000002,57.32965680000001,62.107128200000005,31.053564100000017
3355,New York City - Soho,412.1222091016162,442.15999999999997,1206.1991614117499,277.1975,17.98393749999991,14.746828749999963,150.41765324999994,194.03877269249995,109.65446921925013
3356,New York City - Soho,1245.702902608014,1407.3170000000002,5114.0207960478,346.55579999999964,219.2340999999999,99.4445877600001,2279.806636536,761.6626717518002,0.0
3357,New York City - Soho,780.1540041216582,1010.5309999999998,2271.9181226359797,132.80589999999995,200.0839575,67.70841121800004,564.4517074871999,296.33714643077997,0.0
3358,New York City - Soho,1431.3915528418008,1731.472,4218.276753211499,94.92899999999986,91.32005000000004,38.354421,1760.4679238999995,501.73335831150007,0.0
3359,New York City - Soho,1026.7919698082828,1116.7140000000002,2060.67959136,143.73299999999972,0.0,50.41787999999997,262.17297599999984,487.6417353600002,0.0
3360,New York City - Soho,1076.8164142670296,1198.974,1820.8783931250002,93.00180000000023,322.99395000000004,0.0,161.49697500000025,44.41166812499978,0.0
3361,New York City - Soho,1150.6211057491003,1174.4209999999996,2910.240861330599,31.129900000000134,180.83263499999975,27.72767070000009,565.6444822799997,930.4851733505996,0.0
3362,New York City - Soho,1322.6948736139443,1477.1250000000002,5028.230433474976,531.8422999999998,301.3450949999999,116.43974470800003,1456.0512838248,1145.427009942176,0.0
3363,New York City - Soho,1017.6881918544877,1326.4719999999998,3149.211966428089,497.01510000000053,364.69741999999997,66.08317250400023,225.4267692504004,669.5175046736881,0.0
3364,New York City - Soho,562.6731557237224,739.5659999999998,1810.265019030001,43.5220000000005,97.88600000000008,8.809740000000033,266.9351220000002,653.5461570300004,0.0
